start_time,end_time,text
237.92,239.92, Curry to Looney
240.96,245.64, Curry using a dream on green screen nice feet inside Looney shot blocked
246.32,249.88, Andre Chumman with the rejection Looney was ready to throw it down
251.72,253.72, James to Davis
253.92000000000002,260.72, James with the tip in with the left hand and Frank Bogus I rate he thought David Davis got fouled again. I thought it was a good block
261.28000000000003,266.32000000000005, Curry flips it up shot too strong Looney back out to base more wide open three
269.12,271.68, And Volga wants a timeout hot start
272.64000000000004,277.04, Such so many different matchups to look at and have fun. Let's let's start with Steph Curry Jeff
277.68,281.28000000000003, How do the Lakers try and guard him? What do you think their their game plan will be?
282.08000000000004,287.6," Well, the thing I think for a great defensive team like the Lakers that they have to avoid is overreacting"
287.6,291.52000000000004, To Curry and leaving others open. That's what's happened to start this game
293.6,298.8, Meanwhile mark a big question for Frank Vogel and the Lakers. They've got the size advantage
298.8,304.0, They've got the traditional centers Golden State likes to play small ball. How do you handle that? If you're Frank Bogus?
304.0,308.0," Well to me, I like to see him post up LeBron James against a smaller"
308.72,314.48, Wiggins our last possessing bays more defending him take advantage of that size and strength creating offense for himself
314.8,321.84000000000003, As an aggressor all for his teammates Wiggins has had a terrific year defensively and golden state the fifth rated defense in the nba
321.84000000000003,327.28000000000003, This year all that wagons with the block of james has to fire it up and it's the side of the backboard
327.84000000000003,329.84000000000003, Great defensive play from Andrew Wiggins
331.12,335.84000000000003," This is a great defensive play coach, but in my opinion LeBron lets him off the hook. He fades away"
336.40000000000003,341.04, There's no help coming. That's one-on-one beat him on your terms go towards the basket as opposed to the back
341.44,343.44, Absolutely
343.44,350.32," Wiggins had a strong finish to the season, especially after the all-star break not only the defense but averaging over 20 per game"
351.28000000000003,353.28000000000003, Ball deflected by Caldwell Pope
354.16,357.04, Wiggins guarded by James down the other end knocks down the three
357.84000000000003,363.44, Pretty good couple of sequences for Andrew Wiggins to start his play in game. He's had a tremendous year
364.16,365.36, I mean
365.36,369.36, When he's the third wiggins he's got a great defense and he's got a great defense
369.92,375.12, When he's the third most important player like he was in minnesota the year they went to the playoffs when he was there
375.52000000000004,379.6, It's a perfect role for him. I mean he's played exceptional basketball this year
380.32,382.32, Particularly the second half of the year
382.64,388.72, Drummond puts it on the floor double team back out to Davis shock lock down a three james a three-pointer way off
389.2,393.52000000000004, And raymond green the rebound the lakers have missed nine of their first 11 from the field
394.0,399.2, Basemore running gets it a loony and loony and a hell ball with anthony davis
399.44,404.79999999999995, I'm just thinking about it think about your third best player with the ability to average 20 to 25 points
405.03999999999996,408.0, You put clay thompson with this unit watch out next year
410.06,416.47999999999996," Absolutely, and I give steve kerr a lot of credit he's narrowed his rotation. They play eight guys now"
416.64,420.5, There's more comfort level. They're an older team. They're experienced
421.3,425.3, You don't go far in the nba playoffs playing all young guys
425.62,430.68, You saw clay thompson there once that injury changed a lot of plans for the golden state warriors
434.42,440.74, James now guarded by basemore wiggins helps out schruder good ball movement here caldwell pope good luck knocks down the three
442.74,444.98, And that's what they want out of that double team
445.38,450.98, I would rather stunt at anthony davis stay at home with caldwell pope and make anthony davis
451.46000000000004,456.58000000000004, Shoot and make threes you see schruder initially on steve curry. There'll be a number of players james
457.06,459.22," With the deflection, but wiggins able to get it back"
460.42,462.26, Shock lock down to four
462.26,464.26, Wiggins pull up three
465.06,471.3, And drummond rips down the rebound drummond one of the premier elite rebounders in the game throughout his career
471.7,473.7, Here
474.58,477.08, Caldwell pope off balance
482.82,486.28000000000003, James goes down the lane the runner and draws the foul on basemore
491.22,494.90000000000003," Well, they get the switch and then they double and they full rotate"
495.78000000000003,498.42, That's a long closeout by wiggins
499.06,501.46000000000004," Again, I would have rather stunted off of"
502.1,504.26, Caldwell pope and made anthony davis
504.90000000000003,506.74, Shoot the long ball
506.74,509.38, And mike did we have starting lineups earlier? Yes
510.18,516.02, I wish they were sponsored by taco bell and I could have said sponsored by taco fall
518.1800000000001,524.5, I'm surprised you waited so long to take your first shot man. You didn't come up for breath. So I I was i've been sitting on that
525.46,528.82, James it's the free throw but congratulations to you
529.54,536.82, On truly a hall of fame career. It was an honor to be at your induction. Absolutely. Well deserved and an incredible speech
537.38,539.22, You made us proud partner
539.22,541.22," Thank you gentlemen, but this is a fact"
541.7,545.94, I couldn't have done it without you man. We don't need to hear that. That's fake hustle. That's like saying
546.66,548.66, Curry couldn't have done it without
549.06,551.06, jordan bell come on
551.6999999999999,556.18," Why can't you just say thank you to as well? Thank you. No, no, you don't mean that don't say thank you"
557.6199999999999,559.6199999999999, He's not sincere man. It's about him
561.38,563.38, Warriors lead by six
563.78,569.78, Truder guarding curry again curry launches a three-pointer that one off the bark for the rebound want to scott. Oh anderson
570.26,574.28, Draymond green tries a three that misses drummond falls in another rebound
574.28,576.9399999999999, Michael molder also in the game for golem state. Here's baismore
580.6,583.56," Molder runs to the corner, but baismore banks it won't go. Descanto anderson misses the tip. Here comes james"
585.0,587.0, Truder corner three james the offensive rebound
589.48,592.68, Quick move inside draws the contact shot won't go but a foul
593.9599999999999,596.4399999999999, The first one to come out of the corner is james
596.44,598.44, Rebound
599.8800000000001,603.2600000000001, Quick move inside draws the contact shot long go but a foul
600.0,601.5, the ball and he will go right
601.5,602.6, back to the free throw line.
602.7,603.7, But I don't want to sound like a
603.7,604.9, broken record but that's the
604.9,606.34, type of plays he's got to make
606.34,607.8, especially the way that they're
607.8,608.4, defending him.
608.64,609.8, And I understand coming off
609.8,611.14, injuries trying to feel his way
611.14,611.74, through the game.
612.0,613.48, But as we move closer and closer
613.48,615.24, towards getting involved into
615.24,617.08, this game I expect to see Lebron
617.08,618.08, a little bit more aggressive.
618.88,620.88, You see those two games the last
620.88,622.38, two of the regular season did
622.38,624.06, tweak again the ankle on Sunday
624.06,625.16, but nothing serious.
630.0,630.5, The.
643.98,645.48, James missing a career high
645.52,647.08, twenty seven games only played
647.08,648.82, forty five games that those 20
648.82,651.12, consecutive out with the ankle
651.12,651.52, injury.
653.72,655.18, Now playing in the playing game
655.22,656.52, where he famously said whoever
656.52,657.56, came up with this should be
657.56,658.06, fired.
660.06,661.1, The whole thing has been pretty
661.1,661.6, exciting.
662.06,664.3, Curry on the drive flips it up
664.3,665.36, back shot is good.
665.4,666.46, Steph Curry with his first
666.46,667.0, field goal.
667.2,668.4, Coach just look at the size
668.4,669.44, difference between these two
669.44,670.9, teams on the floor right now at
670.9,672.2, every position.
678.84,680.3199999999999, James finds Caldwell Pope
680.34,682.04, another corner three another one
682.8199999999999,683.64, knocking it down.
683.6800000000001,684.52, Caldwell Pope.
686.62,687.96, Two for two from three point
687.96,688.46, range.
690.0,690.3199999999999, And.
693.96,695.76, Welcome back to Warriors Lakers
695.8,697.46, now if you see Lebron James go
697.46,699.06, to the bench a little more often
699.06,700.86, than usual in this first half
701.1,703.04, coach Frank Vogel told me that's
703.04,704.34, because the more minutes Lebron
704.34,706.78, plays the more his ankle tends
706.78,707.6, to stiffen up.
707.98,709.48, So they are going to try if they
709.48,710.88, don't fall too far behind here
710.88,712.6800000000001, to back load his minutes and
712.6800000000001,714.28, keep him under 30 total.
714.44,715.58, Now you just saw the playback in
715.58,716.78, March where he got initially
716.78,717.08, hurt.
717.52,718.6800000000001, This is where he tweaked it
718.76,720.06, just three days ago.
720.36,722.1, Lebron told us he hasn't stopped
722.1,723.34, thinking about the way this
723.34,725.44, injury derailed his season.
725.44,726.6800000000001, He had to rehab for more than
726.6800000000001,728.98, six weeks and said quote I
728.98,730.78, hated every moment of it.
731.08,732.44, But Mike he said he's ready to
732.44,733.62, move forward and he doesn't
733.62,735.08, anticipate his movement being
735.08,736.72, limited in any real way tonight.
737.52,738.22, Thank you Rachel.
738.6800000000001,741.06, Forget how well he was playing
741.52,743.2, prior to the injury how well the
743.2,745.02, Lakers were playing prior to the
745.02,746.5, injury to James and David.
746.52,748.06, They were 21 and six.
748.38,749.8199999999999, Caruso wide open.
749.84,750.6800000000001, Nobody near him.
751.1800000000001,752.28, And he cans the three.
753.4200000000001,754.22, And they did.
755.12,756.58, On that one stay at home on
756.58,759.02, Caldwell Pope but Caruso shot
759.02,760.86, the ball very well from three
760.86,761.3199999999999, this year.
762.0,763.7, Draymond Green gets inside and
763.7,764.56, draws the foul.
765.56,766.36, Andre Drummond.
767.76,768.56, Green shaken up.
773.8,776.44, Well good stunt by Bayes more.
777.06,777.8199999999999, But Caruso.
779.02,780.72, Again really improved as a three
780.72,781.56, point shooter.
784.4,785.86, So Green will go to the line.
789.34,790.14, Green has had.
790.64,792.34, An outstanding season especially
792.34,793.04, defensively.
793.34,794.34, He hits the first our upcoming
794.34,795.88, national TV schedule TNT
795.88,796.54, tomorrow.
797.38,799.04, Indiana and Washington.
801.78,802.34, Game.
803.1800000000001,804.48, After Indiana with the victory
804.48,805.88, Washington losing to Boston.
805.92,807.26, Then ESPN Friday Memphis will
807.26,808.4, play the loser of this game.
808.4,810.2, It's a nine Eastern start and
810.2,811.9, will be either in San Francisco
811.9,813.0, or here at the Staples Center.
814.2,816.04, Tell you Indiana played a great.
817.2,817.94, Offensive game.
818.0,818.3, Wow.
818.84,819.14, Down.
819.54,820.84, Three of their main guys.
821.34,822.14, So bonus.
822.98,823.84, He's a great.
824.5799999999999,825.88, Great offensive player.
826.14,826.74, Absolutely.
827.6800000000001,828.5799999999999, They started off great.
829.0799999999999,830.14, And did not let their foot off
830.14,830.44, the gas.
831.24,832.42, Davis out to Kuzma.
832.44,834.0799999999999, Kyle Kuzma Montrez Harrell in
834.0799999999999,834.5799999999999, the game.
834.62,836.36, Draymond Green on Davis one on
836.36,836.52, one.
837.02,838.22, Excellent defense again stolen
838.22,838.9200000000001, by base more.
841.4200000000001,843.0, Baseball goes right at Davis
843.0,844.7, throws up a wild shot and draws
844.7,845.06, the foul.
845.56,846.84, Anthony Davis picking up his
846.84,847.14, first.
847.64,848.94, That is outstanding defense by
848.94,850.1, Draymond Green one on one
850.1,851.54, against Anthony Davis for the
851.54,852.24, second time.
854.84,855.94, You just you just battle them.
856.84,857.84, And you stay in front and don't
857.84,859.24, give him anything easy active
859.24,859.64, hands.
861.3199999999999,862.3199999999999, Secure your position.
863.26,863.8199999999999, Be disciplined.
864.4200000000001,865.26, And give your team a chance.
865.3199999999999,866.26, Exactly what he did.
869.26,870.5999999999999, Well base more in the starting
870.5999999999999,870.96, lineup.
871.74,871.96, As.
872.66,873.9, Golden State has some injuries.
874.24,875.3399999999999, Kelly Uberay still out with the
875.3399999999999,875.9, left wrist.
876.4,877.5, He's going to be reevaluated
877.5,878.1, next week.
878.5799999999999,879.64, James Wiseman of course their
879.64,879.98, center.
880.78,881.78, Out for the season with right
881.78,882.28, knee surgery.
882.28,883.44, Damien Lee also out.
883.44,884.28, And of course that man.
884.8399999999999,886.22, Missing his second consecutive
886.22,886.52, year.
887.3199999999999,888.3199999999999, Can't wait to see him back in
888.3199999999999,889.52, uniform running up and down the
889.52,889.88, floor.
890.14,890.62, And they need him.
890.62,892.0799999999999, And you look at this game for
892.0799999999999,893.4200000000001, example the war is not going to
893.4200000000001,894.1800000000001, win if Steph Curry.
894.6800000000001,895.88, Doesn't get going at some point.
896.48,897.62, The Lakers are forcing him to
897.62,898.66, get rid of the basketball where
898.66,899.76, he sees bodies in front of.
900.26,901.36, The Scott Anderson misses the
901.36,902.6, three called ball pulp.
902.6,902.7, The.
903.2,903.52, Rebound.
905.0,905.9, They're doing a good job of
905.9,907.2, keeping two people he comes off
907.2,907.76, a pick and roll.
908.26,909.16, They don't leave him until he
909.16,910.04, gets rid of the basketball.
911.24,911.3, So.
911.94,912.9, Curry's taking just three shots
912.9,913.3, so far.
915.24,916.74, Mulder some early minutes
916.74,917.8399999999999, starting with the first.
918.3,920.0999999999999, Mulder some early minutes
920.0999999999999,920.9, guarding Caruso.
922.2,922.94, Paul Gwell Pope.
923.3,924.68, Nice screen set by Davis.
925.44,926.28, Step back jumper.
926.74,927.24, Won't go.
929.52,931.8199999999999, Green has been absolutely great
931.8199999999999,932.48, defensively.
934.72,935.62, Curry against Kuzma.
935.66,936.66, There's a double team.
937.06,938.3599999999999, Second turnover by Curry.
939.3599999999999,941.26, Kuzma to Caruso drives inside
941.26,942.76, lefty layup is good as goes
942.76,943.3599999999999, crashing.
943.7,944.96, Frank Vogel against saying
944.96,945.8599999999999, where is the whistle.
946.3,947.5999999999999, Lot of contact there.
948.74,948.8399999999999, And.
949.3399999999999,950.9, Caruso off the bench with five
950.9,951.3399999999999, points.
954.48,955.8399999999999, Active hands come up with the
955.8399999999999,957.0799999999999, steal and good delivery by
957.0799999999999,957.5799999999999, Kuzma.
958.18,959.14, Russo with the finish.
959.42,960.3399999999999, That's clearly contact.
960.38,961.42, He should be going to the line.
963.38,964.3199999999999, Curry doubled again.
966.22,967.48, Graham on green fakes.
967.76,968.72, Davis right there.
970.42,971.66, Five on the twenty four.
972.26,973.7, Curry fakes the three gets away
973.7,975.3, from Davis off one foot too
975.3,975.8, strong.
976.26,977.26, And here comes Kuzma.
978.12,979.2, Lakers have made it difficult
979.2,979.6, early.
980.1,980.8, For Steph Curry.
982.0,983.3, Kuzma a three pointer.
984.9000000000001,986.36, And a loose ball fouls gonna go
986.36,987.14, against Curry.
990.34,991.5, And coach you know people say
991.5,992.48, well how can you get them going
992.48,993.58, well you can get them going by
993.58,994.88, getting stops defensively and
994.88,996.24, pushing the basketball is
996.24,997.94, tougher to trap pick and rolls.
999.02,999.78, When you're pushing it in
999.78,1000.38, transition.
1000.62,1002.56, And a technical foul I believe
1002.76,1003.6600000000001, on Draymond Green.
1003.98,1004.28, Green.
1004.58,1005.72, Gosh Tim and San I don't want to
1005.72,1006.08, hear it.
1008.1600000000001,1009.1600000000001, We're now trying to talk.
1012.12,1013.22, Whatever happened to the parent
1013.22,1014.0, that says I don't want to hear
1014.0,1014.86, and then you still talk.
1014.86,1015.9000000000001, They said I said I don't want to
1015.9000000000001,1016.1600000000001, hear it.
1016.46,1017.06, That's the end of it.
1017.46,1018.6600000000001, He just gave him an extra candy
1018.6600000000001,1018.96, bar.
1021.46,1022.7, That foul by the way was on
1022.7,1023.7, Mulder not Curry.
1024.0,1025.8400000000001, As Davis hits the technical
1025.8400000000001,1027.0, free throw and now.
1028.68,1029.24, Much more.
1029.88,1030.78, Pleasant conversation.
1031.0,1032.04, Josh Dibbin and I have a
1032.04,1033.3, difference of opinion of what no
1033.3,1033.84, more means.
1036.94,1038.04, Josh Jim has become one of the
1038.04,1039.84, premier officials in the NBA in
1039.84,1040.48, recent years.
1041.38,1042.62, And you get a technical and
1042.62,1043.82, since we don't count this as the
1043.82,1045.22, playoffs it doesn't count
1045.22,1046.82, against any suspension so you
1046.82,1046.98, can.
1047.62,1048.42, These are freebies.
1049.92,1051.22, Truder in there up top to
1051.22,1051.62, Caruso.
1054.22,1054.86, And throws that about.
1054.86,1056.1599999999999, He was talking about the play in
1056.1599999999999,1056.76, style.
1057.76,1057.86, And.
1058.36,1058.86, He's got a lot of.
1058.94,1059.18, Things that are about.
1059.98,1060.94, He was talking about the play in
1060.94,1062.44, stats do not count toward the
1062.44,1064.12, regular season and do not count
1064.12,1065.12, toward the playoffs they kind of.
1065.76,1067.08, Fade away I suppose but it's
1067.08,1068.06, also you know it's the same for
1068.06,1068.12, the broadcast.
1068.76,1069.48, So whatever you say.
1070.46,1070.52, It's OK.
1071.22,1071.52, You can say whatever you want.
1072.02,1072.5, It's not it's not recorded.
1073.2,1074.26, He does that in any way Mike.
1075.1,1076.46, I'm just saying they should
1076.46,1076.54, count.
1078.06,1080.16, I saw Jason Tatum as 50 as
1080.16,1080.74, Mulder dumps.
1081.46,1081.74, It counts.
1083.04,1083.6399999999999, Put them in the postseason.
1084.1399999999999,1084.94, This is the postseason.
1085.94,1086.2, In agreement with.
1087.04,1087.2, I think they're.
1087.52,1088.82, Trying to figure out what's the
1088.82,1089.08, best way.
1089.72,1090.32, I just figured it out.
1090.82,1090.88, For.
1091.52,1092.12, I'm just saying what they're
1092.12,1092.18, thinking.
1092.92,1092.98, Curry.
1093.52,1093.68, The rebound.
1094.42,1094.62, This is.
1095.26,1095.32, Miss.
1096.3,1096.3600000000001, Curry.
1096.8600000000001,1097.56, Way downtown.
1098.32,1098.4, In and out.
1099.3600000000001,1099.9, And Davis the rebound.
1104.8,1106.6399999999999, Lakers shooting just 32 percent
1106.6399999999999,1107.9, from the field but they're only
1107.9,1108.3, down by three.
1111.04,1112.74, Montrez Harrell spins flips it
1112.74,1113.3400000000001, up shot won't go.
1114.1399999999999,1115.44, Tipped by Kuzma and another
1115.44,1116.6399999999999, offensive rebound which he's
1116.6399999999999,1117.52, doing all season.
1119.12,1120.28, Schroeder misses the three.
1121.28,1122.62, And Curry the rebound Curry
1122.62,1124.22, averaged a career high five and
1124.22,1125.56, a half rebounds per game this
1125.56,1125.82, year.
1126.22,1127.72, Gets inside draws the foul
1127.72,1128.76, counter and one.
1131.0,1132.1599999999999, And to me that's the most
1132.1999999999998,1133.26, underrated.
1133.56,1134.9, Two things about his game.
1135.4,1137.4, The rebounding aspect and the
1137.4,1138.54, finishing aspect.
1140.24,1141.78, That's just beautiful.
1143.28,1144.44, Touch around the rim.
1145.08,1146.24, This year he became.
1147.18,1149.04, The oldest scoring champion in
1149.04,1150.8200000000002, the NBA in 23 years.
1151.8200000000002,1153.58, When Michael Jordan was 35 he
1153.58,1155.3600000000001, finished the season with 46
1155.3600000000001,1157.1599999999999, points on Sunday against Memphis.
1158.26,1159.3200000000002, He was just absolutely
1159.3200000000002,1160.92, sensational of course a lot of
1160.92,1162.26, the talk this week LeBron James
1162.26,1163.0, saying the other day.
1163.6,1165.5, About stuff Curry he's the MVP
1165.52,1167.04, he had the best season all year.
1167.1599999999999,1168.24, Well he's had an incredible
1168.24,1168.6, season.
1169.1399999999999,1171.0, And it's a joy to cover him and
1171.0,1171.9, watch him as Davis.
1172.4,1173.44, Knocks down the little floater.
1174.0,1176.1399999999999, He was 0 4 6 Sanford Davis
1176.5,1177.74, and he's got a shot and it's
1177.74,1178.48, back to four.
1179.88,1180.94, But I like what he did.
1181.32,1183.24, Instead of posting screen on the
1183.24,1183.6799999999998, ball.
1184.48,1186.02, And get some space from green.
1186.22,1188.06, Want to Scott O'Hanlon knocks
1188.06,1189.26, down a three turns and says
1189.26,1190.76, something to the fans and runs
1190.76,1191.52, down the floor.
1192.12,1193.42, He is one been a one of the
1193.42,1194.72, great stories this year.
1195.22,1196.02, In the NBA.
1197.4,1198.76, The East Oakland native now
1198.76,1199.56, playing for his team.
1200.0,1203.52, that he grew up rooting for.
1203.52,1204.92, Shruder shot blocked to Scott
1204.92,1206.72," Anderson saves it, but right to"
1206.72,1208.44," Harold blocked by green, but a foul."
1211.92,1213.84," Yeah, and two free throws coming up for LA."
1217.92,1221.64, See the great ball movement and.
1221.64,1223.76, Young fella gets it done.
1223.76,1226.68, Oakland's finest. Proud to be a warrior.
1226.68,1228.56," Well, this happy ending for him."
1228.56,1230.88, You just signed a multi year contract
1230.88,1234.12, to play for the team again.
1234.12,1236.16, Growing up rooted for his undrafted
1236.16,1238.32, item are kept back in 2015.
1238.32,1241.32," Took him five years to get to the NBA,"
1241.32,1244.56," Mexico, Argentina, Venezuela, the G League."
1244.56,1247.24, And he has become so much more than an
1247.24,1249.92, energy player Bob Myers absolutely loves him.
1249.92,1251.44, He's got terrific skill.
1251.44,1252.52, He's extremely smart.
1252.52,1254.32, Draymond Green says he changes
1254.32,1256.8, the game with his intensity.
1256.8,1260.08, And Steve Kerr says I trust him.
1260.08,1261.88, Been a great story and he's the one
1261.88,1264.04, guy that can do Draymond Green type
1264.04,1265.96," things on the floor initiating offense,"
1265.96,1268.72," setting screens, extra pass."
1268.72,1270.08, What a find by the Warriors.
1273.76,1275.32, Steve Kerr actually calls him
1275.32,1277.16, a mini dream on green.
1277.16,1279.08, You think I just freestyle that Mike?
1279.08,1281.32," Well, I wanted to give a little credit."
1281.32,1283.16," Come on, Lutie, the rebound."
1283.16,1286.12, 6 point Warriors lead.
1286.12,1287.84, There's about a five second difference
1287.84,1290.0, between the shot clock and game clock.
1294.56,1298.24, Very just two for six to start.
1298.24,1300.84, Mulder Wiggins.
1300.84,1302.4," Rebound shooter, final seconds,"
1302.4,1303.84, no fouls to give here.
1303.84,1305.44," Shooter ahead to Davis Davis,"
1305.44,1308.72, three pointers up shot short.
1308.72,1310.44, Welcome back to the State Farm
1310.44,1311.92, NBA play in tournament.
1311.92,1312.88, I'm Rachel Nichols here
1312.88,1314.4, with coach Steve Kerr.
1314.4,1315.16, Great start.
1315.16,1316.8, You guys got out to Steve.
1316.8,1318.36, What was working for you?
1318.36,1319.28," Well, I thought our defense"
1319.28,1320.52," was really good, Rachel,"
1320.52,1321.6, and it's been good.
1321.6,1323.32, You know the last few weeks and that's
1323.32,1324.8, that's what we have to play off of.
1324.8,1326.92, So our guys did a good job.
1326.92,1328.44, What's your approach to the size
1328.44,1330.96, disadvantage that your team has here tonight?
1330.96,1332.12," Well, we just gotta make sure"
1332.12,1334.68, everybody's engaged all the time and
1334.68,1336.28," you know, keeping everyone off the glass."
1336.28,1338.48, They're they're they're obviously
1338.48,1340.0, much bigger and stronger than we are.
1340.0,1341.56, But if we're active and we're
1341.56,1343.12," boxing out with all five guys,"
1343.12,1344.16, we can hold our own.
1344.16,1345.48, Thanks so much Steve.
1345.48,1346.44," Back to you, Mike."
1346.44,1347.48, Thank you Rachel.
1347.48,1349.28, 5th turnover for Golden State.
1351.76,1354.04, James 5 points in that first quarter.
1354.04,1355.44, Taylor important Tucker out there
1355.44,1359.16, with James shooter Kuzma and Harold.
1359.16,1361.0, Horton Tucker straight on three.
1361.0,1362.08, That's good.
1362.08,1363.88, This young man's had an.
1363.88,1365.24, An excellent season in terms
1365.24,1366.12," of taking some steps,"
1366.12,1368.12, but the three pointer has been
1368.12,1369.52, at times a struggle for him.
1369.52,1371.4, Nice shot there and it's a three point game.
1372.32,1374.3600000000001, Jordan pull the floater.
1374.3600000000001,1375.56, Looney's follow misses.
1375.56,1376.76, Harrell the rebound.
1376.76,1381.12," No curry, no green with James on the floor."
1381.12,1383.6, This is going to be a challenge.
1383.6,1385.64, James drives can't get it.
1385.64,1387.72," Come on, Looney grabs another rebound."
1387.72,1389.92, Seven rebounds already for Kaban Looney.
1389.92,1392.0, They'll need him with the size
1392.0,1393.3600000000001, advantage of the Lakers.
1397.56,1399.0, Mulder catch and shoot.
1399.0,1400.16, That's a good one.
1400.16,1401.44, Mulder catch and shoot.
1401.44,1402.12, That's good.
1402.12,1403.12, Three pointer for Mulder.
1403.12,1404.52, He can shoot the second year
1404.52,1405.52, guard from Kentucky.
1405.52,1407.0," Well, you look at this unit on"
1407.0,1408.92, the floor for the Warriors right now.
1408.92,1410.04," No curry or green,"
1410.04,1411.92, but they have the ability to compete
1411.92,1413.92," at a high level, spread the floor,"
1413.92,1415.68, and they have shooting all around.
1415.68,1416.88, Shooter drives shooter misses.
1416.88,1418.32, Looney grabs another defensive rebound.
1420.88,1421.72," And interestingly,"
1421.72,1424.72, they have Toscano Anderson on Schroeder.
1430.68,1434.4, Pool has it eight to shoot Toscano Anderson.
1434.4,1436.24, Not that time fight for the rebound.
1436.24,1437.2," Come on, Looney."
1437.2,1439.08, Nine rebounds now already.
1439.08,1440.68, Another three.
1440.68,1441.88, Mulder can't get it to go.
1447.2,1448.76, Six point goal in state lead.
1448.76,1450.6399999999999, We're two minutes into the second.
1452.2,1454.12, They played each other three times.
1454.12,1455.84, Warriors won the first game.
1455.84,1457.44," Lakers two blowouts after that,"
1457.44,1459.6399999999999, but both teams obviously so radically
1459.6399999999999,1460.44, different now.
1466.6399999999999,1467.24, Kuzma.
1469.6399999999999,1471.6, And it hit one of the wires
1471.6,1472.6," atop the backboard,"
1472.6,1473.92, so it's Golden State ball.
1477.88,1480.28," Stop curry talking about the Warriors,"
1480.28,1482.3600000000001," he said back in in February,"
1482.3600000000001,1484.0," March it was a little bleak,"
1484.0,1486.08, but he's so proud of the way this team
1486.08,1487.96, just kept fighting and he says now
1487.96,1490.2, we've given ourselves a chance
1490.2,1492.12, to make this season matter.
1492.12,1494.96," Curry and Green, the leadership they showed."
1496.24,1497.96, And the Warriors turned it around.
1500.24,1502.24, Toscano Anderson feet inside.
1503.44,1504.56, Looney shot in and out.
1504.56,1506.32, LeBron James rips down the rebound.
1506.32,1507.84, That's outstanding possession though.
1507.84,1510.32," Great ball movement, making plays for one another."
1510.32,1511.6799999999998, Just wasn't able to finish.
1511.6799999999998,1515.0," At Toscano Anderson, like you mentioned before Mark,"
